tick   alive  guild master (eid 78, max_hp=779)   pos
  100     83  779/779                    (1299, 1073)
  200     63  779/779                    (1392, 969)
  300     56  779/779                    (1408, 668)
  400     46  779/779                    (1352, 560)
  500     32  759/779                    (1307, 515)
  600     23  688/779                    (1318, 525)
  700     15  571/779                    (1242, 560)
  800     12  502/779                    (1077, 562)
  900      6  195/779                    (1061, 572)
 1000      5  9/779                      (1026, 537)
 1100      3  DEAD                       -
 1200      3  DEAD                       -
 1300      3  DEAD                       -
 1400      3  DEAD                       -
 1500      3  DEAD                       -
 1600      3  DEAD                       -
 1700      3  DEAD                       -
 1800      3  DEAD                       -
 1900      3  DEAD                       -
 2000      3  DEAD                       -
 2100      3  DEAD                       -
 2200      3  DEAD                       -
 2300      3  DEAD                       -
 2400      3  DEAD                       -
 2500      3  DEAD                       -
 2600      3  DEAD                       -
 2700      3  DEAD                       -
 2800      3  DEAD                       -
 2900      3  DEAD                       -
 3000      3  DEAD                       -
 3100      3  DEAD                       -
 3200      3  DEAD                       -
 3300      3  DEAD                       -
 3400      3  DEAD                       -
 3500      3  DEAD                       -
 3600      3  DEAD                       -
 3700      3  DEAD                       -
 3800      3  DEAD                       -
 3900      3  DEAD                       -
 4000      3  DEAD                       -
